+	1
++	3
++088	1
0	3
01	1
1	7
10	2
100	2
1000	1
10000000	1
100100	1
1001000	1
101	1
102	1
11	1
1140	1
12	3
1221	1
13	3
131214	1
14	2
14400	1
1515	1
15619	1
16	1
16431715	1
17931859	1
18	1
18203640	1
1850	1
19	2
190025	1
1910	1
1911	1
1926	1
1932	1
1936	1
1940	1
1960	1
1981	2
1985	1
2	16
200	1
2000	2
2001	1
2040	1
211286	1
21990	1
22	3
24	4
2400	6
2424	2
25	1
250098	1
26	1
28	1
286	2
29	1
3	6
30	1
300	2
301909	1
3060	1
31489199023	1
32	1
33	1
365	1
39	1
390	1
395	1
4	2
4001	1
428348	1
46	1
465	1
486100585732691	1
5	4
50	1
500	1
51	1
58	1
586	1
6	2
614	1
618	1
62	1
640	2
7	1
70	1
72	1
75	1
76	1
793	1
9	1
9000	1
95	2
955955	1
98	24
982600	1
9999	1
